DATE,COURN
1/1/1976,6.6
2/1/1976,6.3
3/1/1976,6.6
4/1/1976,5.2
5/1/1976,4.6
6/1/1976,6.3
7/1/1976,5.7
8/1/1976,5.4
9/1/1976,5.9
10/1/1976,5.3
11/1/1976,5.9
12/1/1976,6.1
1/1/1977,6.8
2/1/1977,7.9
3/1/1977,7.8
4/1/1977,6.7
5/1/1977,5.7
6/1/1977,7.1
7/1/1977,6.1
8/1/1977,5.7
9/1/1977,5.7
10/1/1977,5.5
11/1/1977,5.7
12/1/1977,5.7
1/1/1978,7.2
2/1/1978,6.5
3/1/1978,6.9
4/1/1978,5.7
5/1/1978,5.1
6/1/1978,6.2
7/1/1978,5.4
8/1/1978,4.9
9/1/1978,5
10/1/1978,4.4
11/1/1978,4.6
12/1/1978,4.7
1/1/1979,5.6
2/1/1979,5.5
3/1/1979,5.5
4/1/1979,4.5
5/1/1979,4.4
6/1/1979,5.1
7/1/1979,4.5
8/1/1979,4.4
9/1/1979,4.4
10/1/1979,4.3
11/1/1979,4.4
12/1/1979,4.5
1/1/1980,5.4
2/1/1980,5.3
3/1/1980,5.5
4/1/1980,5.3
5/1/1980,5.5
6/1/1980,6.6
7/1/1980,6.2
8/1/1980,6
9/1/1980,6.1
10/1/1980,5.9
11/1/1980,5.9
12/1/1980,5.8
1/1/1981,7
2/1/1981,6.8
3/1/1981,6.5
4/1/1981,5.6
5/1/1981,5.4
6/1/1981,6.3
7/1/1981,5.3
8/1/1981,4.9
9/1/1981,5.1
10/1/1981,5.1
11/1/1981,5.4
12/1/1981,5.7
1/1/1982,6.9
2/1/1982,7
3/1/1982,7.2
4/1/1982,6.6
5/1/1982,6.5
6/1/1982,7.6
7/1/1982,7.2
8/1/1982,7.1
9/1/1982,7.6
10/1/1982,7.8
11/1/1982,8.2
12/1/1982,8.3
1/1/1983,9.2
2/1/1983,8.9
3/1/1983,8.9
4/1/1983,8.1
5/1/1983,7.5
6/1/1983,7.8
7/1/1983,6.6
8/1/1983,6.1
9/1/1983,5.9
10/1/1983,5.5
11/1/1983,5.3
12/1/1983,5.5
1/1/1984,6.4
2/1/1984,6
3/1/1984,5.9
4/1/1984,5.2
5/1/1984,5
6/1/1984,5.6
7/1/1984,5.2
8/1/1984,5
9/1/1984,5.1
10/1/1984,5.1
11/1/1984,5.3
12/1/1984,5.5
1/1/1985,6.7
2/1/1985,6.7
3/1/1985,6.6
4/1/1985,5.8
5/1/1985,5.5
6/1/1985,6.3
7/1/1985,5.8
8/1/1985,5.7
9/1/1985,5.7
10/1/1985,5.8
11/1/1985,6
12/1/1985,6.3
1/1/1986,7.5
2/1/1986,7.8
3/1/1986,7.7
4/1/1986,7.1
5/1/1986,7
6/1/1986,7.5
7/1/1986,7.1
8/1/1986,7
9/1/1986,7.5
10/1/1986,7.7
11/1/1986,8.1
12/1/1986,8.2
1/1/1987,9.2
2/1/1987,9.1
3/1/1987,9
4/1/1987,8
5/1/1987,7.5
6/1/1987,7.7
7/1/1987,6.8
8/1/1987,6.5
9/1/1987,6.6
10/1/1987,6.6
11/1/1987,6.8
12/1/1987,6.9
1/1/1988,8.1
2/1/1988,7.8
3/1/1988,7.6
4/1/1988,6.6
5/1/1988,6.4
6/1/1988,6.7
7/1/1988,6.2
8/1/1988,6
9/1/1988,5.8
10/1/1988,5.5
11/1/1988,5.7
12/1/1988,5.7
1/1/1989,6.9
2/1/1989,6.7
3/1/1989,6.3
4/1/1989,5.6
5/1/1989,5.4
6/1/1989,5.9
7/1/1989,5.3
8/1/1989,5
9/1/1989,5.1
10/1/1989,5.1
11/1/1989,5.4
12/1/1989,5.5
1/1/1990,6.2
2/1/1990,5.9
3/1/1990,5.8
4/1/1990,5.2
5/1/1990,5.1
6/1/1990,5.5
7/1/1990,5
8/1/1990,4.8
9/1/1990,4.8
10/1/1990,4.6
11/1/1990,4.9
12/1/1990,4.9
1/1/1991,5.8
2/1/1991,5.7
3/1/1991,5.6
4/1/1991,4.9
5/1/1991,4.9
6/1/1991,5.4
7/1/1991,5.1
8/1/1991,4.9
9/1/1991,4.9
10/1/1991,4.9
11/1/1991,5.3
12/1/1991,5.5
1/1/1992,6.5
2/1/1992,6.4
3/1/1992,6.5
4/1/1992,5.8
5/1/1992,5.9
6/1/1992,6.4
7/1/1992,5.9
8/1/1992,5.7
9/1/1992,5.6
10/1/1992,5.4
11/1/1992,5.8
12/1/1992,6
1/1/1993,6.8
2/1/1993,6.5
3/1/1993,6.2
4/1/1993,5.5
5/1/1993,5.3
6/1/1993,5.7
7/1/1993,5.1
8/1/1993,4.8
9/1/1993,4.6
10/1/1993,4.4
11/1/1993,4.5
12/1/1993,4.4
1/1/1994,5.4
2/1/1994,5.2
3/1/1994,5.2
4/1/1994,4.5
5/1/1994,4.2
6/1/1994,4.6
7/1/1994,4.2
8/1/1994,3.9
9/1/1994,3.6
10/1/1994,3.4
11/1/1994,3.5
12/1/1994,3.4
1/1/1995,4.3
2/1/1995,4.1
3/1/1995,4.1
4/1/1995,3.9
5/1/1995,3.9
6/1/1995,4.4
7/1/1995,4.2
8/1/1995,4
9/1/1995,3.9
10/1/1995,3.7
11/1/1995,3.9
12/1/1995,3.9
1/1/1996,4.8
2/1/1996,4.6
3/1/1996,4.6
4/1/1996,4.2
5/1/1996,4.3
6/1/1996,4.8
7/1/1996,4.5
8/1/1996,4.1
9/1/1996,3.9
10/1/1996,3.7
11/1/1996,3.8
12/1/1996,3.6
1/1/1997,4.4
2/1/1997,4
3/1/1997,4
4/1/1997,3.3
5/1/1997,3.3
6/1/1997,3.7
7/1/1997,3.4
